OID_,Value,Count
,1,20457754.000000000000000
,2,354088561.000000000000000
,4,4669789.000000000000000
,5,115614901.000000000000000
,7,97951615.000000000000000
,8,721260.000000000000000
,9,101.000000000000000
,10,96933.000000000000000
,11,64354755.000000000000000
