OID_,Value,Count
,1,14410842.000000000000000
,2,368407085.000000000000000
,4,3369384.000000000000000
,5,85143434.000000000000000
,7,81564790.000000000000000
,8,3079503.000000000000000
,9,8.000000000000000
,10,331122.000000000000000
,11,101642490.000000000000000
