OID_,Value,Count
,1,15704533.000000000000000
,2,349128586.000000000000000
,4,3081218.000000000000000
,5,93520821.000000000000000
,7,89773583.000000000000000
,8,1437483.000000000000000
,9,7.000000000000000
,10,63570.000000000000000
,11,105238928.000000000000000
