OID_,Value,Count
,1,17616224.000000000000000
,2,340969994.000000000000000
,4,3294092.000000000000000
,5,99776018.000000000000000
,7,95786736.000000000000000
,8,1244901.000000000000000
,9,1.000000000000000
,10,16727.000000000000000
,11,99244036.000000000000000
