OID_,Value,Count
,1,18852807.000000000000000
,2,339437740.000000000000000
,4,3550026.000000000000000
,5,109068513.000000000000000
,7,100899768.000000000000000
,8,1021297.000000000000000
,9,1.000000000000000
,10,29821.000000000000000
,11,85088756.000000000000000
